id,sku,Name,isActive,description,stockQuantity,purchasePrice,salePrice,categories,images,attrKey-1,attrValue-1,attrKey-2,attrValue-2,attrKey-3,attrValue-3,attrKey-4,attrValue-4,attrKey-5,attrValue-5
2,MH01-XS-Black,Chaz Kangeroo Hoodie-XS-Black,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",92,$52.00,$61.88,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,Size,XS,Color,Black,,,,,,
3,MH01-XS-Gray,Chaz Kangeroo Hoodie-XS-Gray,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",68,$52.00,$57.72,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",Size,XS,Color,Gray,,,,,,
4,MH01-XS-Orange,Chaz Kangeroo Hoodie-XS-Orange,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",23,$52.00,$61.36,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,Size,XS,Color,Orange,,,,,,
5,MH01-S-Black,Chaz Kangeroo Hoodie-S-Black,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",8,$52.00,$57.72,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,Size,S,Color,Black,,,,,,
6,MH01-S-Gray,Chaz Kangeroo Hoodie-S-Gray,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",19,$52.00,$60.32,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",Size,S,Color,Gray,,,,,,
7,MH01-S-Orange,Chaz Kangeroo Hoodie-S-Orange,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",20,$52.00,$60.84,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,Size,S,Color,Orange,,,,,,
8,MH01-M-Black,Chaz Kangeroo Hoodie-M-Black,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",30,$52.00,$60.32,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,Size,M,Color,Black,,,,,,
9,MH01-M-Gray,Chaz Kangeroo Hoodie-M-Gray,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",30,$52.00,$57.20,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,"http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_main.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_alt1.jpg,http://eimages.valtim.com/acme-images/product/m/h/mh01-gray_back.jpg",Size,M,Color,Gray,,,,,,
10,MH01-M-Orange,Chaz Kangeroo Hoodie-M-Orange,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",71,$52.00,$57.72,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-orange_main.jpg,Size,M,Color,Orange,,,,,,
11,MH01-L-Black,Chaz Kangeroo Hoodie-L-Black,TRUE,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.  Two-tone gray heather hoodie. Drawstring-adjustable hood.  Machine wash/dry.",27,$52.00,$57.72,Clothing>Men>Tops>Hoodies & Sweatshirts|Clothing>Collections>Eco Friendly|Clothing,http://eimages.valtim.com/acme-images/product/m/h/mh01-black_main.jpg,Size,L,Color,Black,,,,,,
